0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
RT @AshishK71428637: @flipkartsupport You are giving only false commitment here. You do nothing only doing formally here. Same on you flipk…,                                            .                                        .                  …,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@flipkartsupport @Flipkart @flipkartsupport kindly provide an update as I don't see any progress on this issue.,                                       '                                .,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@Flipkart Jhandu nalayak log,                    ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@Flipkart 
@flipkartsupport 
@FlipkartVideo 
@FlipkartStories","  
  
  
 ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
@nehaGurung1692 @myntra @Flipkart Ok buy something for me then😀, 16 2                                 😀,0.0,0.0,neutral,0.0,2.0,0.0,0.0
@Flipkart I have been troubled for the last 19 days my problem is not being resolved. please help me and resolve my… https://t.co/lt8DDeNwgl,                                    1                                       .                              …      :// .  /  8       ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
"@Flipkart Aur checkout ke baad zindagi bhar apne order ka wait kijiye , chu**ya company chor","                                                              ,    **               ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
@Prasadtechfan @Trolling_isart @motorolaindia @GoogleIndia @SamsungIndia @realmeIndia @IqooInd @Vivo_India… https://t.co/LTaxHpA7In,   _                 _     …      :// .  /       7  ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
"@myntra @Flipkart @amazonIN 
@jagograhakjago @Consumer2Court 
Fraud #myntra 
#bycott_myntra","      
   2      
      #       
#      _      ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"i got empty box and i want refund now help me
@Flipkart 
@flipkartsupport https://t.co/FsmF3Au1Ij","                                             
  
       :// .  /    3  1  ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
RT @imrudrabha: 2. Someone has uploaded this (I have hidden the face printed on T-Shirt) on .@Flipkart which is defaming a deceased. Hence…, 2.                           (                                         )    .                              .      …,0.0,0.0,neutral,0.0,2.0,0.0,0.0
"RT @imrudrabha: Update

I will serve notice to .@Flipkart tonight (for approving a material which is defaming a deceased) as a common &amp; res…","       

                       .          (                                                     )             &   ;    …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@Flipkart plz cancel this ,,we humble request to you ... https://t.co/PH9Zs05KjL","                  ,,                         ...      :// .  /     05   ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
After so very long I was just checking online shopping @myntra  @Flipkart  yesterday and I realised today morning t… https://t.co/iusQyKK290,                                                                                                     …      :// .  /       2 0,0.0,0.0,neutral,0.0,2.0,0.0,0.0
"Hey, @Flipkart @flipkartsupport, received incorrect items in the order. Could you please help in rectifying the pro… https://t.co/DK8z3WAVPV","   ,    ,                                      .                                            …      :// .  /  8 3     ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"@Flipkart What is this ?

second handle item delivery 😠 😡 https://t.co/eoa3taQYJe","               ?

                            😠 😡      :// .  /   3      ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
